Indicador,Área geográfica,Año,Valor
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2010,27.9689317086
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2010,93.7719006573
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2010,39.0406301205
Delitos denunciados (Delitos) Anual,14 Jalisco,2010,163111.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2010,1478963.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2010,60841.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2010,32980.4994010754
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2011,30.1149808916
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2011,92.1601174791
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2011,32.3795783265
Delitos denunciados (Delitos) Anual,14 Jalisco,2011,176540.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2011,1317513.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2011,59408.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2011,29351.2695840086
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2012,21.8701841561
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2012,93.7628569431
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2012,37.0272377793
Delitos denunciados (Delitos) Anual,14 Jalisco,2012,289138.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2012,2271249.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2012,129443.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2012,49083.0900956477
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2013,37.2020343419
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2013,93.316267421
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2013,39.5751412121
Delitos denunciados (Delitos) Anual,14 Jalisco,2013,261551.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2013,2193245.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2013,97479.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2013,47278.0687990623
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2014,33.7281265338
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2014,94.7909763847
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2014,36.9045928609
Delitos denunciados (Delitos) Anual,14 Jalisco,2014,209921.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2014,2056665.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2014,91854.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2014,43076.2967915506
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2015,31.3186303875
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2015,94.2438467437
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2015,41.1421542158
Delitos denunciados (Delitos) Anual,14 Jalisco,2015,232680.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2015,2415877.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2015,80225.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2015,49316.8501725447
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2016,25.8448211729
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2016,93.154160431
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2016,38.2167964551
Delitos denunciados (Delitos) Anual,14 Jalisco,2016,261495.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2016,2049792.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2016,103268.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2016,41874.3805000858
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2017,31.1362362097
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2017,92.7062756233
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2017,38.4331270037
Delitos denunciados (Delitos) Anual,14 Jalisco,2017,283234.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2017,2154245.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2017,105451.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2017,43022.8968505909
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2018,32.9858796488
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2018,91.7505284894
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2018,37.485106773
Delitos denunciados (Delitos) Anual,14 Jalisco,2018,257035.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2018,2025887.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2018,68706.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2018,40542.7479545458
