Indicador,Área geográfica,Año,Valor
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2011,36.17941
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2011,90.3157500671
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2011,40.0917317739
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2011,2.7766395713
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2011,6240.43354
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2011,239326.63624
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2011,271898.38937
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2013,38.6693693345
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2013,88.0911803147
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2013,49.438378792
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2013,1.574300437
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2013,6251.14461
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2013,144235.86615
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2013,170830.96199
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2015,37.1481550661
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2015,90.123581311
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2015,28.2233698435
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2015,1.7227551971
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2015,3610.06549877
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2015,194223.51488657
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2015,219513.66946095
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2017,32.0439625241
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2017,85.1053783479
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2017,64.9635445682
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2017,2.0800476312
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2017,5349.9574101844
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2017,184122.18627358
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2017,222632.3968729
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2019,30.5077750417
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2019,91.2024878686
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2019,53.4210658799
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2019,1.8103677841
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2019,2379.910230814
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2019,175090.162106487
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2019,194589.069316929
Porcentaje de unidades económicas víctimas del delito (Porcentaje) Bienal,14 Jalisco,2021,15.704449097
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2021,75.7884499528
Porcentaje de delitos con portación de armas en unidades económicas (Porcentaje) Bienal,14 Jalisco,2021,59.4711567144
Tasa de concentración de delitos ocurridos (Tasa) Bienal,14 Jalisco,2021,2.1908853114
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (en unidades económicas) (Delitos) Bienal,14 Jalisco,2021,2433.8221
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (en unidades económicas) (Delitos) Bienal,14 Jalisco,2021,85500.8869
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2021,116026.5305
Cifra negra de delitos en unidades económicas (Porcentaje) Bienal,14 Jalisco,2023,92.2475207453
Delitos ocurridos a unidades económicas (Delitos) Bienal,14 Jalisco,2023,212744.1978
