Año,Municipio,categoria_delito,Total_Anual
2015,Acatic,EXTORSION,1
2016,Acatic,EXTORSION,0
2017,Acatic,EXTORSION,1
2018,Acatic,EXTORSION,1
2019,Acatic,EXTORSION,4
2020,Acatic,EXTORSION,5
2021,Acatic,EXTORSION,1
2022,Acatic,EXTORSION,3
2023,Acatic,EXTORSION,3
2024,Acatic,EXTORSION,0
2025,Acatic,EXTORSION,3
2015,Acatlán de Juárez,EXTORSION,1
2016,Acatlán de Juárez,EXTORSION,0
2017,Acatlán de Juárez,EXTORSION,3
2018,Acatlán de Juárez,EXTORSION,3
2019,Acatlán de Juárez,EXTORSION,6
2020,Acatlán de Juárez,EXTORSION,1
2021,Acatlán de Juárez,EXTORSION,3
2022,Acatlán de Juárez,EXTORSION,0
2023,Acatlán de Juárez,EXTORSION,2
2024,Acatlán de Juárez,EXTORSION,0
2025,Acatlán de Juárez,EXTORSION,0
2015,Ahualulco de Mercado,EXTORSION,4
2016,Ahualulco de Mercado,EXTORSION,7
2017,Ahualulco de Mercado,EXTORSION,4
2018,Ahualulco de Mercado,EXTORSION,5
2019,Ahualulco de Mercado,EXTORSION,7
2020,Ahualulco de Mercado,EXTORSION,2
2021,Ahualulco de Mercado,EXTORSION,2
2022,Ahualulco de Mercado,EXTORSION,2
2023,Ahualulco de Mercado,EXTORSION,0
2024,Ahualulco de Mercado,EXTORSION,3
2025,Ahualulco de Mercado,EXTORSION,1
2015,Amacueca,EXTORSION,0
2016,Amacueca,EXTORSION,0
2017,Amacueca,EXTORSION,0
2018,Amacueca,EXTORSION,0
2019,Amacueca,EXTORSION,0
2020,Amacueca,EXTORSION,0
2021,Amacueca,EXTORSION,0
2022,Amacueca,EXTORSION,0
2023,Amacueca,EXTORSION,0
2024,Amacueca,EXTORSION,0
2025,Amacueca,EXTORSION,0
2015,Amatitán,EXTORSION,0
2016,Amatitán,EXTORSION,2
2017,Amatitán,EXTORSION,0
2018,Amatitán,EXTORSION,1
2019,Amatitán,EXTORSION,2
2020,Amatitán,EXTORSION,4
2021,Amatitán,EXTORSION,1
2022,Amatitán,EXTORSION,2
2023,Amatitán,EXTORSION,1
2024,Amatitán,EXTORSION,0
2025,Amatitán,EXTORSION,0
2015,Ameca,EXTORSION,10
2016,Ameca,EXTORSION,6
2017,Ameca,EXTORSION,11
2018,Ameca,EXTORSION,11
2019,Ameca,EXTORSION,2
2020,Ameca,EXTORSION,8
2021,Ameca,EXTORSION,6
2022,Ameca,EXTORSION,8
2023,Ameca,EXTORSION,15
2024,Ameca,EXTORSION,7
2025,Ameca,EXTORSION,4
2015,Arandas,EXTORSION,12
2016,Arandas,EXTORSION,11
2017,Arandas,EXTORSION,6
2018,Arandas,EXTORSION,13
2019,Arandas,EXTORSION,5
2020,Arandas,EXTORSION,12
2021,Arandas,EXTORSION,8
2022,Arandas,EXTORSION,7
2023,Arandas,EXTORSION,8
2024,Arandas,EXTORSION,8
2025,Arandas,EXTORSION,8
2015,Atemajac de Brizuela,EXTORSION,0
2016,Atemajac de Brizuela,EXTORSION,0
2017,Atemajac de Brizuela,EXTORSION,0
2018,Atemajac de Brizuela,EXTORSION,1
2019,Atemajac de Brizuela,EXTORSION,0
2020,Atemajac de Brizuela,EXTORSION,0
2021,Atemajac de Brizuela,EXTORSION,1
2022,Atemajac de Brizuela,EXTORSION,0
2023,Atemajac de Brizuela,EXTORSION,0
2024,Atemajac de Brizuela,EXTORSION,0
2025,Atemajac de Brizuela,EXTORSION,0
2015,Atengo,EXTORSION,1
2016,Atengo,EXTORSION,0
2017,Atengo,EXTORSION,0
2018,Atengo,EXTORSION,0
2019,Atengo,EXTORSION,0
2020,Atengo,EXTORSION,2
2021,Atengo,EXTORSION,1
2022,Atengo,EXTORSION,0
2023,Atengo,EXTORSION,0
2024,Atengo,EXTORSION,0
2025,Atengo,EXTORSION,0
2015,Atenguillo,EXTORSION,1
2016,Atenguillo,EXTORSION,0
2017,Atenguillo,EXTORSION,2
2018,Atenguillo,EXTORSION,0
2019,Atenguillo,EXTORSION,0
2020,Atenguillo,EXTORSION,1
2021,Atenguillo,EXTORSION,0
2022,Atenguillo,EXTORSION,0
2023,Atenguillo,EXTORSION,0
2024,Atenguillo,EXTORSION,0
2025,Atenguillo,EXTORSION,1
2015,Atotonilco el Alto,EXTORSION,3
2016,Atotonilco el Alto,EXTORSION,0
2017,Atotonilco el Alto,EXTORSION,0
2018,Atotonilco el Alto,EXTORSION,6
2019,Atotonilco el Alto,EXTORSION,6
2020,Atotonilco el Alto,EXTORSION,5
2021,Atotonilco el Alto,EXTORSION,3
2022,Atotonilco el Alto,EXTORSION,5
2023,Atotonilco el Alto,EXTORSION,2
2024,Atotonilco el Alto,EXTORSION,1
2025,Atotonilco el Alto,EXTORSION,7
2015,Atoyac,EXTORSION,0
2016,Atoyac,EXTORSION,1
2017,Atoyac,EXTORSION,1
2018,Atoyac,EXTORSION,1
2019,Atoyac,EXTORSION,0
2020,Atoyac,EXTORSION,0
2021,Atoyac,EXTORSION,0
2022,Atoyac,EXTORSION,0
2023,Atoyac,EXTORSION,0
2024,Atoyac,EXTORSION,0
2025,Atoyac,EXTORSION,1
2015,Autlán de Navarro,EXTORSION,8
2016,Autlán de Navarro,EXTORSION,11
2017,Autlán de Navarro,EXTORSION,7
2018,Autlán de Navarro,EXTORSION,12
2019,Autlán de Navarro,EXTORSION,1
2020,Autlán de Navarro,EXTORSION,8
2021,Autlán de Navarro,EXTORSION,3
2022,Autlán de Navarro,EXTORSION,4
2023,Autlán de Navarro,EXTORSION,6
2024,Autlán de Navarro,EXTORSION,4
2025,Autlán de Navarro,EXTORSION,3
2015,Ayotlán,EXTORSION,1
2016,Ayotlán,EXTORSION,0
2017,Ayotlán,EXTORSION,1
2018,Ayotlán,EXTORSION,1
2019,Ayotlán,EXTORSION,1
2020,Ayotlán,EXTORSION,0
2021,Ayotlán,EXTORSION,2
2022,Ayotlán,EXTORSION,2
2023,Ayotlán,EXTORSION,0
2024,Ayotlán,EXTORSION,0
2025,Ayotlán,EXTORSION,0
2015,Ayutla,EXTORSION,0
2016,Ayutla,EXTORSION,0
2017,Ayutla,EXTORSION,0
2018,Ayutla,EXTORSION,1
2019,Ayutla,EXTORSION,0
2020,Ayutla,EXTORSION,0
2021,Ayutla,EXTORSION,0
2022,Ayutla,EXTORSION,0
2023,Ayutla,EXTORSION,0
2024,Ayutla,EXTORSION,0
2025,Ayutla,EXTORSION,0
2015,Bolaños,EXTORSION,0
2016,Bolaños,EXTORSION,0
2017,Bolaños,EXTORSION,0
2018,Bolaños,EXTORSION,2
2019,Bolaños,EXTORSION,0
2020,Bolaños,EXTORSION,0
2021,Bolaños,EXTORSION,1
2022,Bolaños,EXTORSION,0
2023,Bolaños,EXTORSION,0
2024,Bolaños,EXTORSION,0
2025,Bolaños,EXTORSION,0
2015,Cabo Corrientes,EXTORSION,1
2016,Cabo Corrientes,EXTORSION,0
2017,Cabo Corrientes,EXTORSION,0
2018,Cabo Corrientes,EXTORSION,1
2019,Cabo Corrientes,EXTORSION,0
2020,Cabo Corrientes,EXTORSION,2
2021,Cabo Corrientes,EXTORSION,1
2022,Cabo Corrientes,EXTORSION,0
