Municipio,mun_norm,Año,Total_Anual,cve_mun,nomgeo,pob_total,tasa_100k
Guadalajara,GUADALAJARA,2025,28863,039,Guadalajara,1385629,2083.025109895939
El Salto,EL SALTO,2025,4400,070,El Salto,232852,1889.6122859155173
Puerto Vallarta,PUERTO VALLARTA,2025,5492,067,Puerto Vallarta,291839,1881.8595184331086
San Pedro Tlaquepaque,SAN PEDRO TLAQUEPAQUE,2025,11597,098,San Pedro Tlaquepaque,687127,1687.7520458372323
Tlajomulco de Zúñiga,TLAJOMULCO DE ZUNIGA,2025,11285,097,Tlajomulco de Zúñiga,727750,1550.669872895912
Ameca,AMECA,2025,905,006,Ameca,60386,1498.691749743318
Autlán de Navarro,AUTLAN DE NAVARRO,2025,957,015,Autlán de Navarro,64931,1473.8722644037516
Chapala,CHAPALA,2025,809,030,Chapala,55196,1465.6859192695124
San Marcos,SAN MARCOS,2025,55,075,San Marcos,3791,1450.8045370614614
El Arenal,EL ARENAL,2025,305,009,El Arenal,21115,1444.4707553871654
Tala,TALA,2025,1263,083,Tala,87690,1440.3010605542252
Zapotiltic,ZAPOTILTIC,2025,455,121,Zapotiltic,33713,1349.6277400409338
Tonalá,TONALA,2025,7617,101,Tonalá,569913,1336.5197845987018
Ahualulco de Mercado,AHUALULCO DE MERCADO,2025,313,003,Ahualulco de Mercado,23630,1324.5873889123995
Zapotlán el Grande,ZAPOTLAN EL GRANDE,2025,1517,023,Zapotlán el Grande,115141,1317.5150467687445
Zapopan,ZAPOPAN,2025,19353,120,Zapopan,1476491,1310.7428355472537
Mazamitla,MAZAMITLA,2025,184,059,Mazamitla,14043,1310.2613401694794
Juanacatlán,JUANACATLAN,2025,404,051,Juanacatlán,30855,1309.3501863555339
Colotlán,COLOTLAN,2025,243,025,Colotlán,19689,1234.1916806338565
Zapotlanejo,ZAPOTLANEJO,2025,792,124,Zapotlanejo,64806,1222.1090639755578
El Grullo,EL GRULLO,2025,313,037,El Grullo,25920,1207.5617283950617
Atenguillo,ATENGUILLO,2025,49,012,Atenguillo,4176,1173.3716475095785
Gómez Farías,GOMEZ FARIAS,2025,192,079,Gómez Farías,16431,1168.522914004017
Tecolotlán,TECOLOTLAN,2025,192,088,Tecolotlán,16603,1156.4175149069445
Acatlán de Juárez,ACATLAN DE JUAREZ,2025,285,002,Acatlán de Juárez,25250,1128.7128712871286
Lagos de Moreno,LAGOS DE MORENO,2025,1926,053,Lagos de Moreno,172403,1117.1499335858425
Jocotepec,JOCOTEPEC,2025,523,050,Jocotepec,47105,1110.2855323214096
