Año,zona_geografica,Tipo de delito,Total_Anual
2015,AMG,Robo,16515
2015,AMG,Lesiones,7245
2015,AMG,Violencia familiar,7020
2015,AMG,Otros delitos del Fuero Común,6430
2015,AMG,Amenazas,6012
2015,AMG,Daño a la propiedad,4850
2015,AMG,Fraude,4558
2015,AMG,Narcomenudeo,4393
2015,AMG,Abuso sexual,1018
2015,AMG,Delitos cometidos por servidores públicos,992
2015,AMG,Homicidio,943
2015,AMG,Despojo,791
2015,AMG,Otros delitos contra la familia,729
2015,AMG,Falsificación,708
2015,AMG,Extorsión,475
2015,AMG,Abuso de confianza,384
2015,AMG,Allanamiento de morada,303
2015,AMG,Violación simple,251
2015,AMG,Otros delitos que atentan contra la libertad personal,248
2015,AMG,Falsedad,122
2015,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,109
2015,AMG,Corrupción de menores,98
2015,AMG,Acoso sexual,90
2015,AMG,Feminicidio,38
2015,AMG,Hostigamiento sexual,19
2015,AMG,Electorales,18
2015,AMG,Aborto,15
2015,AMG,Secuestro,11
2015,AMG,Contra el medio ambiente,9
2015,AMG,Violación equiparada,5
2015,AMG,Evasión de presos,4
2015,AMG,Tráfico de menores,3
2015,AMG,Incesto,0
2015,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2015,AMG,Otros delitos contra el patrimonio,0
2015,AMG,Otros delitos contra la sociedad,0
2015,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2015,AMG,Rapto,0
2015,AMG,Trata de personas,0
2015,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2015,Interior,Robo,10932
2015,Interior,Lesiones,3837
2015,Interior,Daño a la propiedad,2541
2015,Interior,Amenazas,1548
2015,Interior,Otros delitos del Fuero Común,1533
2015,Interior,Fraude,1523
2015,Interior,Violencia familiar,1362
2015,Interior,Homicidio,787
2015,Interior,Despojo,654
2015,Interior,Narcomenudeo,644
2015,Interior,Falsificación,579
2015,Interior,Otros delitos contra la familia,574
2015,Interior,Abuso sexual,518
2015,Interior,Abuso de confianza,388
2015,Interior,Extorsión,320
2015,Interior,Delitos cometidos por servidores públicos,299
2015,Interior,Allanamiento de morada,248
