Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cambio_absoluto,cambio_porcentual,CAGR_aprox
Tlajomulco de Zúñiga,6806,8451,13459,13496,11662,9148,10537,12363,12622,11698,11285,4479,65.80957978254482,5.186731866472938
San Pedro Tlaquepaque,7989,11381,14481,14719,14597,11913,12261,12482,13532,12693,11597,3608,45.16209788459131,3.7971247905929317
Zapopan,16028,24230,30268,28890,28833,22848,22938,22049,23618,22023,19353,3325,20.744946343898178,1.9029827691359413
Guadalajara,25656,41293,53153,52658,51075,39698,39337,37780,36011,34712,28863,3207,12.5,1.1847940917808941
El Salto,1685,2379,3650,3647,3372,2705,3129,3420,3529,3359,4400,2715,161.12759643916914,10.074133939720342
Tonalá,5195,8084,10723,10821,11640,9379,8773,8444,9269,8444,7617,2422,46.62175168431184,3.901027011572089
Tala,950,876,1021,893,1017,1174,1041,921,776,1064,1263,313,32.94736842105263,2.8887697903074327
Ixtlahuacán de los Membrillos,342,660,669,562,577,556,474,750,878,722,644,302,88.30409356725146,6.53344622338472
Juanacatlán,126,181,238,218,202,222,289,315,392,364,404,278,220.63492063492066,12.35724506241933
Jocotepec,249,454,486,522,406,344,560,545,414,472,523,274,110.04016064257027,7.703603549971927
Zapotlanejo,579,838,887,738,737,973,759,1054,1207,955,792,213,36.787564766839374,3.182171094689057
Autlán de Navarro,766,1221,1230,1343,1110,943,867,913,997,878,957,191,24.934725848563968,2.2511772352004744
Zapotiltic,279,292,336,359,406,340,322,362,470,437,455,176,63.08243727598566,5.012432688068058
Poncitlán,297,333,326,349,320,369,389,380,491,475,469,172,57.91245791245792,4.674679385911107
El Grullo,150,254,278,227,245,253,279,336,344,340,313,163,108.66666666666667,7.632965931490743
