Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cambio_absoluto,cambio_porcentual,CAGR_aprox
Tepatitlán de Morelos,2202,2270,1832,1765,1854,1558,1496,1341,1343,1252,1316,-886,-40.236148955495004,-5.017442882923895
Lagos de Moreno,2273,2551,2372,1947,2385,2168,2305,2321,2122,2027,1926,-347,-15.266168059832822,-1.6429069385826556
Zapotlán el Grande,1861,1663,1587,1561,1424,1286,1269,1340,1452,1497,1517,-344,-18.4846856528748,-2.0230488894706244
San Juan de los Lagos,689,508,640,472,518,775,656,700,693,629,385,-304,-44.12191582002903,-5.6538569019012215
Ocotlán,1101,1130,890,1039,1174,935,1053,860,1008,828,879,-222,-20.16348773841962,-2.226726550189584
San Miguel el Alto,367,301,243,219,311,280,200,213,205,159,161,-206,-56.13079019073569,-7.909256098782047
Tamazula de Gordiano,419,276,251,222,239,165,212,215,267,242,248,-171,-40.81145584725537,-5.1092747883803575
Encarnación de Díaz,445,327,397,368,331,433,463,390,474,464,331,-114,-25.617977528089884,-2.916192986474475
Jesús María,200,161,159,201,156,123,132,112,123,119,97,-103,-51.5,-6.980462923326569
Jalostotitlán,295,282,271,315,294,287,388,315,358,272,196,-99,-33.559322033898304,-4.00615102123878
Tomatlán,278,207,235,203,132,175,259,259,204,180,203,-75,-26.978417266187048,-3.0952368965325716
Villa Purificación,112,102,121,87,102,119,31,53,51,56,61,-51,-45.535714285714285,-5.895328883848039
San Julián,94,98,50,51,61,65,62,79,66,54,50,-44,-46.808510638297875,-6.117593137444121
Ayutla,86,59,59,83,69,65,61,64,69,56,43,-43,-50.0,-6.696700846319259
Cocula,361,355,386,267,392,348,339,358,379,328,322,-39,-10.80332409972299,-1.1367536976447545
