zona_geografica,Municipio,Total_Anual
AMG,Guadalajara,28863
AMG,Zapopan,19353
AMG,San Pedro Tlaquepaque,11597
AMG,Tlajomulco de Zúñiga,11285
AMG,Tonalá,7617
AMG,El Salto,4400
AMG,Zapotlanejo,792
AMG,Ixtlahuacán de los Membrillos,644
AMG,Juanacatlán,404
Interior,Puerto Vallarta,5492
Interior,Lagos de Moreno,1926
Interior,Zapotlán el Grande,1517
Interior,Tepatitlán de Morelos,1316
Interior,Tala,1263
Interior,Autlán de Navarro,957
Interior,Ameca,905
Interior,Ocotlán,879
Interior,Chapala,809
Interior,Arandas,671
Interior,La Barca,549
Interior,Jocotepec,523
Interior,Poncitlán,469
Interior,Zapotiltic,455
Interior,Atotonilco el Alto,420
Interior,Cihuatlán,390
Interior,Tequila,390
Interior,San Juan de los Lagos,385
Interior,Sayula,342
Interior,Encarnación de Díaz,331
Interior,Cocula,322
Interior,Ahualulco de Mercado,313
Interior,El Grullo,313
Interior,El Arenal,305
Interior,Acatlán de Juárez,285
Interior,Zacoalco de Torres,265
Interior,San Martín Hidalgo,263
Interior,Tamazula de Gordiano,248
Interior,Colotlán,243
Interior,Teocaltiche,241
Interior,Tomatlán,203
Interior,Ojuelos de Jalisco,202
Interior,Jamay,201
Interior,Magdalena,199
Interior,Jalostotitlán,196
Interior,Gómez Farías,192
Interior,Tecolotlán,192
Interior,Tototlán,188
Interior,Tuxpan,187
Interior,Mazamitla,184
Interior,Ayotlán,182
Interior,La Huerta,179
Interior,Tizapán el Alto,173
Interior,Etzatlán,162
Interior,San Miguel el Alto,161
Interior,Ixtlahuacán del Río,148
Interior,Mascota,148
Interior,Unión de Tula,144
Interior,Villa Corona,140
Interior,Casimiro Castillo,136
Interior,Zapotlán del Rey,134
Interior,Yahualica de González Gallo,132
Interior,Amatitán,118
Interior,Tapalpa,115
Interior,Acatic,112
Interior,Villa Hidalgo,112
Interior,Degollado,104
Interior,Talpa de Allende,99
Interior,Jesús María,97
Interior,Cabo Corrientes,96
Interior,San Gabriel,93
Interior,Cuquío,87
Interior,Mezquitic,85
Interior,San Juanito de Escobedo,81
Interior,Teuchitlán,81
Interior,Cuautitlán de García Barragán,80
Interior,San Ignacio Cerro Gordo,79
Interior,Unión de San Antonio,74
Interior,Valle de Guadalupe,61
Interior,Villa Purificación,61
Interior,San Marcos,55
Interior,San Julián,50
Interior,Atenguillo,49
Interior,Huejuquilla el Alto,49
Interior,Hostotipaquillo,48
Interior,Tecalitlán,47
Interior,Tenamaxtlán,46
Interior,Atengo,43
Interior,Ayutla,43
Interior,Huejúcar,42
Interior,Tuxcueca,41
Interior,Atoyac,39
Interior,Juchitlán,36
Interior,Mixtlán,36
Interior,Valle de Juárez,35
Interior,Teocuitatlán de Corona,34
Interior,Tolimán,33
Interior,Amacueca,32
Interior,Guachinango,31
Interior,Villa Guerrero,28
Interior,San Sebastián del Oeste,27
Interior,Tonila,27
Interior,Santa María de los Ángeles,26
Interior,Tonaya,25
Interior,Bolaños,24
Interior,Concepción de Buenos Aires,24
Interior,Pihuamo,24
Interior,El Limón,23
Interior,Atemajac de Brizuela,21
Interior,La Manzanilla de la Paz,20
Interior,Techaluta de Montenegro,20
Interior,San Diego de Alejandría,19
Interior,Zapotitlán de Vadillo,18
Interior,Chimaltitán,17
Interior,Chiquilistlán,16
Interior,Totatiche,16
Interior,Cañadas de Obregón,15
Interior,Tuxcacuesco,15
Interior,San Cristóbal de la Barranca,14
Interior,Ejutla,12
Interior,Mexticacán,10
Interior,Santa María del Oro,10
Interior,Quitupan,9
Interior,Cuautla,7
Interior,Jilotlán de los Dolores,7
Interior,San Martín de Bolaños,6
